tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
278,3,2,0.785,13,12,0.00345
279,3,2,1.236,13,12,0.00284
280,3,2,1.236,13,12,0.00221
281,3,2,1.236,13,12,0.00199
282,3,1,1.236,13,12,0.00163
283,2,1,0.818,13,13,0.0019
284,2,1,0.818,13,13,0.04688
285,2,1,0.818,13,13,0.03947
286,2,1,0.818,13,13,0.03297
287,2,1,0.818,13,13,0.02891
288,2,1,0.818,13,13,0.0228
289,2,1,0.818,13,13,0.01705
290,2,1,0.818,13,13,0.01287
291,2,2,0.818,13,13,0.01039
292,2,2,0.818,13,13,0.0102
293,2,2,0.818,13,13,0.009
294,2,2,0.818,13,13,0.00718
295,2,2,0.818,13,13,0.00638
296,2,2,0.818,13,13,0.00529
297,2,3,0.818,13,13,0.00414
298,2,2,0.818,13,13,0.00369
299,2,2,0.818,13,13,0.00305
300,1,2,0.367,13,14,0.00474
301,1,2,0.367,13,14,0.00426
302,1,2,0.367,13,14,0.00351
303,1,2,0.367,13,14,0.00271
304,1,2,0.367,13,14,0.066
305,1,2,0.367,13,14,0.05673
306,1,2,0.367,13,14,0.04755
307,1,2,0.367,13,14,0.04082
308,1,2,0.367,13,14,0.03293
309,1,2,0.367,13,14,0.02456
310,2,1,0.367,14,14,0.00913
311,2,1,0.785,14,14,0.00753
312,2,1,0.785,14,14,0.00727
313,2,1,0.785,14,14,0.00631
314,2,1,0.785,14,14,0.00527
315,2,1,0.785,14,14,0.00456
316,2,1,0.785,14,14,0.0037
317,2,1,0.785,14,14,0.00305
318,2,1,0.785,14,14,0.00264
319,2,1,0.785,14,14,0.00214
320,2,0,0.785,14,14,0.00174
321,2,0,0.785,14,14,0.00152
322,2,0,0.785,14,14,0.00123
323,2,0,0.785,14,14,0.00098
324,2,0,0.785,14,14,0.0226
325,2,0,0.785,14,14,0.01997
326,2,0,0.785,14,14,0.01719
327,2,0,0.785,14,14,0.01386
328,2,0,0.785,14,14,0.01137
329,2,0,0.785,14,14,0.00873
330,2,0,0.785,14,14,0.00627
331,2,0,0.785,14,14,0.00524
332,1,1,0.367,14,15,0.01037
333,1,1,0.367,14,15,0.00885
334,1,1,0.367,14,15,0.00775
335,1,1,0.367,14,15,0.00656
336,1,1,0.367,14,15,0.00517
337,1,1,0.367,14,15,0.00454
338,1,2,0.367,14,15,0.00377
339,1,2,0.367,14,15,0.00295
340,1,2,0.367,14,15,0.00262
341,1,3,0.367,14,15,0.00217
342,1,3,0.367,14,15,0.17505
343,1,3,0.367,14,15,0.1643
344,1,3,0.367,14,15,0.15211
345,1,3,0.367,14,15,0.12644
346,1,3,0.367,14,15,0.10416
347,1,3,0.367,14,15,0.08813
348,2,2,0.367,15,15,0.03655
349,2,2,0.785,15,15,0.02998
350,2,2,0.785,15,15,0.0259
351,2,3,0.785,15,15,0.02147
352,2,3,0.785,15,15,0.01769
353,2,3,0.785,15,15,0.01505
354,2,3,0.785,15,15,0.0125
355,2,3,0.785,15,15,0.01018
356,2,2,0.785,15,15,0.00865
357,2,3,0.785,15,15,0.00712
358,2,3,0.785,15,15,0.00581
359,2,3,0.785,15,15,0.00493
360,2,3,0.785,15,15,0.00403
361,2,2,0.785,15,15,0.00331
